name,band,title,peak_date,peak_rank
*NSYNC,,It's Gonna Be Me,2000-07-28,1
*NSYNC,,Music Of My Heart,1999-10-15,2
*NSYNC,,Bye Bye Bye,2000-04-14,4
*NSYNC,,This I Promise You,2000-12-01,5
*NSYNC,,Girlfriend,2002-04-05,5
*NSYNC,,A Little More Time On You,1999-02-26,8
*NSYNC,,Gone,2001-11-23,11
*NSYNC,,I Want You Back,1998-05-01,13
*NSYNC,,Pop,2001-06-15,19
*NSYNC,,Tearin' Up My Heart,1998-12-04,59
*NSYNC,,I Drive Myself Crazy,1999-05-07,67
JC Chasez,*NSYNC,Blowin' Me Up,2003-02-28,35
JC Chasez,*NSYNC,Some Girls,2004-02-13,88
Justin Timberlake,*NSYNC,SexyBack,2006-09-08,1
Justin Timberlake,*NSYNC,My Love,2006-11-10,1
Justin Timberlake,*NSYNC,What Goes Around...Comes Around,2007-03-02,1
Justin Timberlake,*NSYNC,Can't Stop The Feeling!,2016-05-27,1
Justin Timberlake,*NSYNC,Mirrors,2013-06-14,2
Justin Timberlake,*NSYNC,Cry Me A River,2003-01-31,3
Justin Timberlake,*NSYNC,Suit & Tie,2013-04-05,3
Justin Timberlake,*NSYNC,Rock Your Body,2003-05-09,5
Justin Timberlake,*NSYNC,Summer Love,2007-06-08,6
Justin Timberlake,*NSYNC,Not A Bad Thing,2014-05-02,8
Justin Timberlake,*NSYNC,Filthy,2018-01-19,9
Justin Timberlake,*NSYNC,Say Something,2018-02-09,9
Justin Timberlake,*NSYNC,Like I Love You,2002-10-11,11
Justin Timberlake,*NSYNC,Hallelujah,2010-02-12,13
Justin Timberlake,*NSYNC,LoveStoned,2007-10-05,17
Justin Timberlake,*NSYNC,Until The End Of Time,2007-12-14,17
Justin Timberlake,*NSYNC,Senorita,2003-09-26,27
Justin Timberlake,*NSYNC,Take Back The Night,2013-09-13,29
Justin Timberlake,*NSYNC,TKO,2013-12-13,36
Justin Timberlake,*NSYNC,Pusher Love Girl,2013-04-05,64
Justin Timberlake,*NSYNC,Supplies,2018-02-02,71
Justin Timberlake,*NSYNC,Man Of The Woods,2018-02-16,73
98º,,Give Me Just One Night,2000-09-29,2
98º,,Because Of You,1998-11-20,3
98º,,The Hardest Thing,1999-07-02,5
98º,,Invisible Man,1997-09-05,12
98º,,I Do,1999-09-24,13
98º,,My Everything,2001-02-09,34
98º,,This Gift,2000-01-07,49
Nick Lachey,98º,What's Left Of Me,2006-05-12,6
Nick Lachey,98º,I Can't Hate You Anymore,2006-09-22,87
Aventura,,Inmortal,2019-04-19,95
Aventura,,Ella Y Yo,2005-12-16,97
Romeo Santos,Aventura,Odio,2014-02-14,45
Romeo Santos,Aventura,Heroe Favorito,2017-03-03,77
Romeo Santos,Aventura,Propuesta Indecente,2013-09-27,79
Romeo Santos,Aventura,Promise,2011-11-25,83
Romeo Santos,Aventura,Imitadora,2017-08-11,91
Romeo Santos,Aventura,Bella y Sensual,2017-12-22,95
Romeo Santos,Aventura,You,2011-06-24,97
Az Yet,,Hard To Say I'm Sorry,1997-05-02,8
Az Yet,,Last Night,1996-10-18,9
Marc Nelson,Az Yet,15 Minutes,1999-12-17,27
B2K,,"Bump, Bump, Bump",2003-01-31,1
B2K,,Girlfriend,2003-04-25,30
B2K,,Gots Ta Be,2002-06-28,34
B2K,,Uh Huh,2002-05-17,37
B2K,,Badaboom,2004-01-09,59
B2K,,Why I Love You,2002-11-01,73
Omarion,B2K,Ice Box,2007-03-09,12
Omarion,B2K,Post To Be,2015-05-08,13
Omarion,B2K,O,2005-03-18,27
Omarion,B2K,Entourage,2006-09-01,78
Omarion,B2K,I Get It In,2009-12-18,83
Omarion,B2K,Touch,2005-07-29,94
BTS,,Dynamite,2020-09-04,1
BTS,,Life Goes On,2020-12-04,1
BTS,,ON,2020-03-06,4
BTS,,Boy With Luv,2019-04-26,8
BTS,,Fake Love,2018-06-01,10
BTS,,IDOL,2018-09-07,11
BTS,,Blue & Grey,2020-12-04,13
BTS,,Stay,2020-12-04,22
BTS,,MIC Drop,2017-12-15,28
BTS,,Black Swan,2020-01-31,57
BTS,,DNA,2017-10-13,67
BTS,,Fly To My Room,2020-12-04,69
BTS,,Telepathy,2020-12-04,70
BTS,,Dis-ease,2020-12-04,72
BTS,,Make It Right,2019-11-01,76
BTS,,My Time,2020-03-06,84
BTS,,Filter,2020-03-06,87
j-hope,BTS,Chicken Noodle Soup,2019-10-11,81
Blackstreet,,No Diggity,1996-11-08,1
Blackstreet,,Before I Let You Go,1995-01-06,7
Blackstreet,,Take Me There,1999-01-22,14
Blackstreet,,Booti Call,1994-08-19,34
Blackstreet,,Joy,1995-04-21,43
Blackstreet,,Girlfriend/Boyfriend,1999-04-09,47
Blackstreet,,Fix,1997-08-08,58
Blackstreet,,Tonight's The Night,1995-10-06,80
Teddy Riley,Blackstreet,My Fantasy,1989-10-06,62
Boyz II Men,,End Of The Road,1992-08-14,1
Boyz II Men,,I'll Make Love To You,1994-08-26,1
Boyz II Men,,On Bended Knee,1994-12-02,1
Boyz II Men,,4 Seasons Of Loneliness,1997-10-03,1
Boyz II Men,,It's So Hard To Say Goodbye To Yesterday,1991-12-13,2
Boyz II Men,,Water Runs Dry,1995-06-16,2
Boyz II Men,,Motownphilly,1991-09-06,3
Boyz II Men,,In The Still Of The Nite,1993-01-15,3
Boyz II Men,,A Song For Mama,1998-02-13,7
Boyz II Men,,Uhh Ahh,1992-03-06,16
Boyz II Men,,Thank You,1995-03-17,21
Boyz II Men,,Let It Snow,1994-01-07,32
Boyz II Men,,I Will Get There,1999-02-12,32
Boyz II Men,,I Remember,1996-01-05,46
Boyz II Men,,Please Don't Go,1992-05-01,49
Boyz II Men,,Vibin',1995-10-06,56
Boyz II Men,,Thank You In Advance,2001-01-05,80
Shawn Stockman,Boyz II Men,Visions Of A Sunset,1996-02-23,45
Destiny's Child,,"Bills, Bills, Bills",1999-07-16,1
Destiny's Child,,Say My Name,2000-03-17,1
Destiny's Child,,Independent Women Part I,2000-11-17,1
Destiny's Child,,Bootylicious,2001-08-03,1
Destiny's Child,,Survivor,2001-04-13,2
Destiny's Child,,"No, No, No",1998-03-27,3
Destiny's Child,,"Jumpin', Jumpin'",2000-08-18,3
Destiny's Child,,Lose My Breath,2004-10-29,3
Destiny's Child,,Soldier,2005-02-11,3
Destiny's Child,,Emotion,2001-11-30,10
Destiny's Child,,Cater 2 U,2005-08-12,14
Destiny's Child,,Girl,2005-05-27,23
Destiny's Child,,Bug A Boo,1999-11-12,33
Beyoncé,Destiny's Child,Crazy In Love,2003-07-11,1
Beyoncé,Destiny's Child,Baby Boy,2003-10-03,1
Beyoncé,Destiny's Child,Check On It,2006-02-03,1
Beyoncé,Destiny's Child,Irreplaceable,2006-12-15,1
Beyoncé,Destiny's Child,Single Ladies,2008-12-12,1
Beyoncé,Destiny's Child,Drunk In Love,2014-02-14,2
Beyoncé,Destiny's Child,Naughty Girl,2004-06-04,3
Beyoncé,Destiny's Child,Beautiful Liar,2007-04-06,3
Beyoncé,Destiny's Child,If I Were A Boy,2008-11-07,3
Beyoncé,Destiny's Child,"Me, Myself And I",2004-02-20,4
Beyoncé,Destiny's Child,Deja Vu,2006-08-11,4
Beyoncé,Destiny's Child,Halo,2009-05-22,5
Beyoncé,Destiny's Child,Sweet Dreams,2009-11-06,10
Beyoncé,Destiny's Child,Formation,2016-05-13,10
Beyoncé,Destiny's Child,Ring The Alarm,2006-09-29,11
Beyoncé,Destiny's Child,Sorry,2016-05-13,11
Beyoncé,Destiny's Child,7/11,2014-12-19,13
Beyoncé,Destiny's Child,Hold Up,2016-05-13,13
